Phase,Algorithm,Embedding,Accuracy,Precision,Recall,F1-Score,MCC,G-Mean,Class_A_Acc,Class_AU_Acc,Class_F_Acc,Class_FT_Acc,Class_LF_Acc,Class_LL_Acc,Class_M_Acc,Class_O_Acc,Class_P_Acc,Class_PE_Acc,Class_R_Acc,Class_SC_Acc,Class_SE_Acc,Class_US_Acc
Phase 4-2A (Simple Classical),XGBoost,GloVe,0.8930594900849859,0.5595220726440081,0.3343285740821134,0.40033290419664996,0.530467139300026,0.14199847491075956,0.4782608695652174,0.6923076923076923,0.9800995024875622,0.0,0.25,0.4,0.14285714285714285,0.08333333333333333,0.2916666666666667,0.23809523809523808,0.3,0.0,0.4489795918367347,0.375
Phase 4-2A (Simple Classical),KNN,GloVe,0.8682719546742209,0.3909269437340223,0.34215907707983156,0.3595221624765923,0.47971475353592236,0.15339915633873513,0.34782608695652173,0.3076923076923077,0.9494195688225538,0.0,0.25,0.4,0.14285714285714285,0.25,0.5,0.23809523809523808,0.5,0.0,0.5918367346938775,0.3125
Phase 4-2A (Simple Classical),RF,GloVe,0.8774787535410765,0.5509724547616534,0.2332962609588575,0.3022287236754865,0.39479754611555445,0.07078453791450011,0.21739130434782608,0.4230769230769231,0.9933665008291874,0.0,0.0,0.0,0.14285714285714285,0.08333333333333333,0.25,0.14285714285714285,0.1,0.5,0.16326530612244897,0.25
Phase 4-2A (Simple Classical),KNN,Word2Vec,0.8682719546742209,0.3909269437340223,0.34215907707983156,0.3595221624765923,0.47971475353592236,0.15339915633873513,0.34782608695652173,0.3076923076923077,0.9494195688225538,0.0,0.25,0.4,0.14285714285714285,0.25,0.5,0.23809523809523808,0.5,0.0,0.5918367346938775,0.3125
Phase 4-2A (Simple Classical),RF,Word2Vec,0.8774787535410765,0.5509724547616534,0.2332962609588575,0.3022287236754865,0.39479754611555445,0.07078453791450011,0.21739130434782608,0.4230769230769231,0.9933665008291874,0.0,0.0,0.0,0.14285714285714285,0.08333333333333333,0.25,0.14285714285714285,0.1,0.5,0.16326530612244897,0.25
Phase 4-2A (Simple Classical),XGBoost,Word2Vec,0.8930594900849859,0.5595220726440081,0.3343285740821134,0.40033290419664996,0.530467139300026,0.14199847491075956,0.4782608695652174,0.6923076923076923,0.9800995024875622,0.0,0.25,0.4,0.14285714285714285,0.08333333333333333,0.2916666666666667,0.23809523809523808,0.3,0.0,0.4489795918367347,0.375
Phase 4-2B (Simple Deep),XGBoost,MPNet,0.8859773371104815,0.4774156349987905,0.275554118806496,0.33055560520241134,0.4807570617205663,0.06251042345539697,0.21739130434782608,0.15384615384615385,0.9850746268656716,0.0,0.0,0.0,0.0,0.16666666666666666,0.4583333333333333,0.3333333333333333,0.2,0.5,0.5306122448979592,0.3125
Phase 4-2B (Simple Deep),KNN,MPNet,0.8803116147308782,0.44393500643500644,0.34496596771789134,0.37417664294604425,0.4992906001823367,0.10311855039980598,0.2608695652173913,0.11538461538461539,0.9651741293532339,0.5,0.0,0.1,0.0,0.4166666666666667,0.6666666666666666,0.3333333333333333,0.4,0.0,0.5714285714285714,0.5
Phase 4-2B (Simple Deep),XGBoost,SBERT,0.8824362606232294,0.5541121140538326,0.30597585766365315,0.37113387905151785,0.46109724401951435,0.12487348831795018,0.13043478260869565,0.15384615384615385,0.9809286898839138,0.0,0.0,0.2,0.14285714285714285,0.08333333333333333,0.5,0.47619047619047616,0.5,0.5,0.42857142857142855,0.1875
Phase 4-2B (Simple Deep),KNN,SBERT,0.8788951841359773,0.42823179957731455,0.32114095703055295,0.3555426259571441,0.49290380706386816,0.13278608290465638,0.17391304347826086,0.15384615384615385,0.9660033167495854,0.0,0.25,0.1,0.14285714285714285,0.5,0.625,0.3333333333333333,0.2,0.0,0.5510204081632653,0.5
